date,city,tmax_f,tmin_f,prcp,snow,snwd,awnd,tsun,wdf2,wsf2,timestamp_utc
2025-07-21,Houston,98.0,80.0,0.0,0.0,0.0,8.3,,150,17.0,2025-07-21T12:00:00Z
2025-07-21,Phoenix,104.0,85.0,0.0,0.0,0.0,8.5,,180,25.1,2025-07-21T12:00:00Z
2025-07-21,Seattle,77.0,54.0,0.0,0.0,0.0,6.3,,200,14.1,2025-07-21T12:00:00Z
2025-07-20,Houston,97.0,79.0,0.0,0.0,0.0,5.6,,170,15.0,2025-07-20T12:00:00Z
2025-07-20,Phoenix,97.0,90.0,0.0,0.0,0.0,6.7,,280,19.9,2025-07-20T12:00:00Z
2025-07-20,Seattle,65.0,51.0,0.0,0.0,0.0,4.3,,200,10.1,2025-07-20T12:00:00Z
2025-07-19,Houston,96.0,78.0,0.0,0.0,0.0,6.7,,150,19.9,2025-07-19T12:00:00Z
2025-07-19,Phoenix,107.0,87.0,0.0,0.0,0.0,7.2,,270,17.0,2025-07-19T12:00:00Z
2025-07-19,Seattle,70.0,55.0,0.0,0.0,0.0,5.6,,250,14.1,2025-07-19T12:00:00Z
2025-07-18,New York,82.0,73.0,0.0,0.0,0.0,5.4,,300,15.0,2025-07-18T12:00:00Z
2025-07-18,Chicago,80.0,58.0,0.0,0.0,0.0,5.1,,100,12.1,2025-07-18T12:00:00Z
2025-07-18,Houston,94.0,79.0,0.0,0.0,0.0,4.9,,150,19.9,2025-07-18T12:00:00Z
2025-07-18,Phoenix,108.0,88.0,0.0,0.0,0.0,7.6,,270,17.0,2025-07-18T12:00:00Z
2025-07-18,Seattle,70.0,56.0,0.0,0.0,0.0,9.4,,230,15.0,2025-07-18T12:00:00Z
2025-07-17,New York,90.0,75.0,0.0,0.0,0.0,6.7,,240,14.1,2025-07-17T12:00:00Z
2025-07-17,Chicago,72.0,58.0,0.0,0.0,0.0,10.5,,40,18.1,2025-07-17T12:00:00Z
2025-07-17,Houston,92.0,75.0,0.0,0.0,0.0,4.3,,80,13.0,2025-07-17T12:00:00Z
2025-07-17,Phoenix,101.0,80.0,0.0,0.0,0.0,7.8,,270,19.9,2025-07-17T12:00:00Z
2025-07-17,Seattle,86.0,56.0,0.0,0.0,0.0,6.7,,310,13.0,2025-07-17T12:00:00Z
2025-07-16,New York,87.0,77.0,0.0,0.0,0.0,2.9,,210,8.1,2025-07-16T12:00:00Z
2025-07-16,Chicago,90.0,70.0,0.36,0.0,0.0,9.6,,230,40.9,2025-07-16T12:00:00Z
2025-07-16,Houston,97.0,79.0,0.0,0.0,0.0,6.5,,110,16.1,2025-07-16T12:00:00Z
2025-07-16,Phoenix,97.0,83.0,0.0,0.0,0.0,11.6,,160,25.9,2025-07-16T12:00:00Z
2025-07-16,Seattle,94.0,66.0,0.0,0.0,0.0,5.8,,220,14.1,2025-07-16T12:00:00Z
2025-07-15,New York,86.0,72.0,0.0,0.0,0.0,1.6,,230,6.0,2025-07-15T12:00:00Z
2025-07-15,Chicago,91.0,70.0,0.0,0.0,0.0,5.8,,120,14.1,2025-07-15T12:00:00Z
2025-07-15,Houston,95.0,76.0,0.0,0.0,0.0,5.1,,150,19.9,2025-07-15T12:00:00Z
2025-07-15,Phoenix,107.0,86.0,0.0,0.0,0.0,10.5,,150,23.0,2025-07-15T12:00:00Z
2025-07-15,Seattle,88.0,56.0,0.0,0.0,0.0,8.1,,340,17.0,2025-07-15T12:00:00Z
2025-07-14,New York,85.0,73.0,2.64,0.0,0.0,2.5,,20,13.0,2025-07-14T12:00:00Z
2025-07-14,Chicago,87.0,66.0,0.0,0.0,0.0,3.1,,230,12.1,2025-07-14T12:00:00Z
2025-07-14,Houston,92.0,74.0,0.21,0.0,0.0,5.4,,120,17.0,2025-07-14T12:00:00Z
2025-07-14,Phoenix,107.0,90.0,0.0,0.0,,9.2,,300,17.0,2025-07-14T12:00:00Z
2025-07-14,Seattle,78.0,62.0,0.0,0.0,0.0,8.5,,30,23.9,2025-07-14T12:00:00Z
2025-07-13,New York,83.0,71.0,0.0,0.0,0.0,3.6,,50,8.9,2025-07-13T12:00:00Z
2025-07-13,Chicago,81.0,67.0,0.0,0.0,0.0,5.4,,250,13.0,2025-07-13T12:00:00Z
2025-07-13,Houston,95.0,76.0,1.1,0.0,0.0,5.8,,220,16.1,2025-07-13T12:00:00Z
2025-07-13,Phoenix,108.0,90.0,0.0,0.0,,7.8,,280,18.1,2025-07-13T12:00:00Z
2025-07-13,Seattle,90.0,64.0,0.0,0.0,0.0,8.7,,50,16.1,2025-07-13T12:00:00Z
2025-07-12,New York,83.0,74.0,0.0,0.0,0.0,2.0,,120,8.9,2025-07-12T12:00:00Z
2025-07-12,Chicago,84.0,69.0,0.0,0.0,0.0,8.5,,220,16.1,2025-07-12T12:00:00Z
2025-07-12,Houston,95.0,79.0,0.01,0.0,0.0,8.3,,150,17.0,2025-07-12T12:00:00Z
2025-07-12,Phoenix,108.0,88.0,0.0,0.0,0.0,6.9,,280,17.0,2025-07-12T12:00:00Z
2025-07-12,Seattle,83.0,64.0,0.0,0.0,0.0,10.1,,350,18.1,2025-07-12T12:00:00Z
2025-07-11,New York,84.0,73.0,0.0,0.0,0.0,2.5,,130,8.9,2025-07-11T12:00:00Z
2025-07-11,Chicago,90.0,70.0,0.99,0.0,0.0,7.6,,290,25.9,2025-07-11T12:00:00Z
2025-07-11,Houston,93.0,79.0,0.13,0.0,0.0,7.2,,150,18.1,2025-07-11T12:00:00Z
2025-07-11,Phoenix,111.0,90.0,0.0,0.0,0.0,10.7,,280,23.0,2025-07-11T12:00:00Z
2025-07-11,Seattle,84.0,59.0,0.0,0.0,0.0,7.2,,20,16.1,2025-07-11T12:00:00Z
2025-07-10,New York,84.0,70.0,0.18,0.0,0.0,1.8,,60,8.1,2025-07-10T12:00:00Z
